clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
PATRIOTAS/parana;-25.4195;-49.2646;0.0007163542695117;1;1;1;1;2;3
ELITE CD/rio_grande_do_sul;-32.0349;-52.1071;0.0007155788224477;1;1;1;1;1;1
JABAQUARA/sao_paulo;-23.9535;-46.335;0.0007146040748105;1;1;1;0;2;0
RIOGRANDENSE/rio_grande_do_sul;-29.6868;-53.8149;0.0007082140159686;1;1;1;1;1;1
JATAIENSE/goias;-17.8784;-51.7204;0.0006915552414456;1;2;1;0;0;2
RIO PRETO/sao_paulo;-20.8113;-49.3758;0.0006815473101479;1;1;1;0;0;0
INTER DE LAGES/santa_catarina;-27.815;-50.3259;0.000681334214225;1;1;1;1;1;3
TANABI/sao_paulo;-20.6228;-49.6563;0.0006801985923022;1;1;1;0;0;0
PELOTAS/rio_grande_do_sul;-31.7653;-52.3375;0.0006718159442372;1;1;1;1;1;1
IGUAÇU/parana;-26.2273;-51.0873;0.0006572501177224;1;1;1;1;2;3
FUTEBOL COM VIDA/rio_grande_do_sul;-30.0822;-51.0189;0.0006535656035742;1;1;1;1;1;1
ATLÉTICO TUBARÃO/santa_catarina;-28.4713;-49.0144;0.0006474981448483;1;1;1;1;1;3
CARAVAGGIO/santa_catarina;-28.6364;-49.4978;0.0006424467275871;1;1;1;1;1;3
AMÉRICA/sao_paulo;-20.8113;-49.3758;0.0006404733297932;1;1;1;0;0;0
LARANJA MECÂNICA/parana;-23.4144;-51.4233;0.0006403169886132;1;1;1;0;0;0
CORUMBAENSE/mato_grosso_do_sul;-19.0077;-57.651;0.000638311663015;1;2;1;0;0;2
AZURIZ/parana;-26.2292;-52.6706;0.0006340359480953;1;1;1;1;1;1
COXIM/mato_grosso_do_sul;-18.5013;-54.751;0.0006300235733681;1;2;1;0;0;2
PSTC/parana;-23.1811;-50.6467;0.0006228018570144;1;1;1;0;0;0
ARAÇATUBA/sao_paulo;-21.2076;-50.4401;0.0006216374344308;1;1;1;0;0;0
BAGÉ/rio_grande_do_sul;-31.3297;-54.0999;0.0006199752470474;1;1;1;1;1;1
GUARANI/santa_catarina;-27.6455;-48.6697;0.0006072588651426;1;1;1;1;2;3
APAFUT/rio_grande_do_sul;-29.1678;-51.1794;0.0006009919990138;1;1;1;1;1;1
METROPOLITANO/santa_catarina;-26.9155;-49.0709;0.0005987007214503;1;1;1;1;2;3
TOLEDO/parana;-24.7122;-53.7431;0.0005972383030687;1;1;1;0;0;2
LEÃO DO VALE - CIANORTE/parana;-23.6599;-52.6054;0.0005948696191152;1;1;1;0;0;2
MARACAJU/mato_grosso_do_sul;-21.6105;-55.1678;0.0005918280789768;1;1;1;0;0;2
ESPORTIVO/rio_grande_do_sul;-29.1706;-51.52;0.0005860009751056;1;1;1;1;1;1
