clube;estado;cidade;lat;lon;ibge;wins;draws;losses;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;cluster_k6;cluster_k7;cluster_k8;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
HUMAITÁ;AC;Porto Acre;-9.58138;-67.5478;1200807.0;40;23;54;0.0011114331732621;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
ANAPOLINA;GO;Anápolis;-16.3281;-48.953;5201108.0;32;25;21;0.0011087873193086;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
RIO BRANCO;AC;Rio Branco;-9.974;-67.8076;5107206.0;49;27;34;0.0011019663869445;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
ALECRIM;RN;Natal;-5.79357;-35.1986;2408102.0;24;14;29;0.0010897100198173;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
PORTO VITÓRIA;ES;Vitória;-20.3155;-40.3128;3205309.0;156;74;76;0.001082028821884;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CATANDUVA;SP;Catanduva;-21.1314;-48.977;3511102.0;41;29;24;0.0010784144023067;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
UNIVASSOURAS ARTSUL;RJ;Nova Iguaçu;-22.7556;-43.4603;3303500.0;37;43;41;0.0010775199267509;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
UNIÃO RONDONÓPOLIS;MT;Rondonópolis;-16.4673;-54.6372;5107602.0;64;40;39;0.0010726017185683;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
GRÊMIO ANÁPOLIS;GO;Anápolis;-16.3281;-48.953;5201108.0;25;34;39;0.0010695210628224;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
FALCON;SE;Aracaju;-10.9091;-37.0677;2800308.0;31;27;31;0.0010683781552617;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
BANGU;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;102;136;188;0.0010667908887513;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
VOCEM;SP;Assis;-22.6622;-50.4181;3504008.0;33;34;18;0.0010587080611896;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
BARRA;SE;Barra dos Coqueiros;-10.91;-37.0317;2800605.0;25;20;20;0.0010573629897203;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
GOIANÉSIA;GO;Goianésia;-15.3118;-49.1162;5208608.0;37;43;55;0.0010544316632332;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
IPATINGA;MG;Ipatinga;-19.4703;-42.5476;3131307.0;78;66;106;0.0010509819436571;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CRUZEIRO;RS;Cachoeirinha;-29.95;-51.0833;4303103.0;22;6;10;0.0010502552882214;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
SÃO BORJA;RS;São Borja;-28.6578;-56.0036;4318002.0;37;19;20;0.0010470955451529;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
PETROLINA;PE;Petrolina;-9.38866;-40.5027;2611101.0;24;29;30;0.0010445633516399;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
CRAC;GO;Catalão;-18.1658;-47.9461;5205108.0;33;43;38;0.0010439568985117;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
IPORÁ;GO;Iporá;-16.4398;-51.118;5210208.0;33;34;59;0.0010378113285831;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
NOROESTE;SP;Bauru;-22.3246;-49.0871;3506003.0;55;49;40;0.0010324290221075;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
AMÉRICA MINEIRO;MG;Belo Horizonte;-19.9102;-43.9266;3106200.0;69;41;30;0.0010317727240462;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
